date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:37	4614/4614	---MCZ	200	added ('OK')	text/css	etag:W/%225738368c-1206%22	http://demos.wpexpand.com/html/eElectronics/css/owl.carousel.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/owl.carousel.css	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:48	43715/43715	---M--	200	added ('OK')	image/png	etag:%2257383698-aac3%22	http://demos.wpexpand.com/html/eElectronics/img/crossword.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/crossword.png	(from http://demos.wpexpand.com/html/eElectronics/style.css)
22:08:49	82509/82509	---M--	200	added ('OK')	image/jpeg	etag:%22573836ad-1424d%22	http://demos.wpexpand.com/html/eElectronics/img/slide-1.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/slide-1.jpg	(from http://demos.wpexpand.com/html/eElectronics/style.css)
22:08:50	93922/93922	---M--	200	added ('OK')	image/jpeg	etag:%22573836af-16ee2%22	http://demos.wpexpand.com/html/eElectronics/img/slide-2.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/slide-2.jpg	(from http://demos.wpexpand.com/html/eElectronics/style.css)
22:08:52	154472/154472	---M--	200	added ('OK')	image/jpeg	etag:%22573836b0-25b68%22	http://demos.wpexpand.com/html/eElectronics/img/slide-3.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/slide-3.jpg	(from http://demos.wpexpand.com/html/eElectronics/style.css)
22:08:53	7106/7106	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Sep%202014%2023:36:03%20GMT	https://www.paypalobjects.com/webstatic/mktg/Logo/AM_mc_vs_ms_ae_UK.png	C:/My%20Web%20Sites/eElectronics/www.paypalobjects.com/webstatic/mktg/Logo/AM_mc_vs_ms_ae_UK.png	(from http://demos.wpexpand.com/html/eElectronics/checkout.html)
22:08:54	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:08:39%20GMT	http://demos.wpexpand.com/html/eElectronics/css/owl.video.play.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/owl.video.play.html	(from http://demos.wpexpand.com/html/eElectronics/css/owl.carousel.css)
22:08:56	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:08:40%20GMT	http://demos.wpexpand.com/html/eElectronics/css/style.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/style.html	(from http://demos.wpexpand.com/html/eElectronics/css/owl.video.play.png)
22:09:20	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:09:06%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/jquery-1.9.1.min.html	(from http://demos.wpexpand.com/html/eElectronics/css/owl.video.play.png)
22:09:43	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:09:29%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/purchase.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/purchase.html	(from http://demos.wpexpand.com/html/eElectronics/css/owl.video.play.png)
22:10:11	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2018%20Feb%202017%2020:09:56%20GMT	http://www.wpexpand.com/wp-content/uploads/2015/03/favicon.png	C:/My%20Web%20Sites/eElectronics/www.wpexpand.com/wp-content/uploads/2015/03/favicon.png	(from http://demos.wpexpand.com/html/eElectronics/css/owl.video.play.png)
22:10:11	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:09:56%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/style.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/style.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/jquery-1.9.1.min.js)
22:10:13	42141/42141	---MC-	200	added ('OK')	application/javascript	date:Sat,%2018%20Feb%202017%2020:09:54%20GMT	https://apis.google.com/js/plusone.js	C:/My%20Web%20Sites/eElectronics/apis.google.com/js/plusone.js	(from http://demos.wpexpand.com/html/eElectronics/css/owl.video.play.png)
22:10:13	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:09:59%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/jquery-1.9.1.min.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/jquery-1.9.1.min.js)
22:10:15	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:00%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/images/logo.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/images/logo.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/jquery-1.9.1.min.js)
22:10:16	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:01%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/images/purchase.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/images/purchase.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/jquery-1.9.1.min.js)
22:10:17	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:02%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/images/cross.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/images/cross.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/jquery-1.9.1.min.js)
22:10:18	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:04%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/logo.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/logo.png	(from http://demos.wpexpand.com/html/eElectronics/css/owl.video.play.png)
22:10:20	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:05%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/style.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/style.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/purchase.png)
22:10:20	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:06%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/js/jquery-1.9.1.min.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/purchase.png)
22:10:21	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:07%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/images/logo.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/images/logo.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/purchase.png)
22:10:27	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:08%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/images/purchase.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/images/purchase.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/purchase.png)
22:10:29	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:13%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/images/cross.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/images/cross.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/purchase.png)
22:10:31	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:16%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/cross.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/cross.png	(from http://demos.wpexpand.com/html/eElectronics/css/owl.video.play.png)
22:10:31	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:16%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/style.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/style.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/jquery-1.9.1.min.js)
22:10:31	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:17%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/js/jquery-1.9.1.min.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/jquery-1.9.1.min.js)
22:10:32	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:18%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/images/logo.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/images/logo.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/jquery-1.9.1.min.js)
22:10:33	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:18%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/images/purchase.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/images/purchase.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/jquery-1.9.1.min.js)
22:10:33	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:19%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/images/cross.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/images/cross.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/jquery-1.9.1.min.js)
22:10:34	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:20%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/images/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/images/js/jquery-1.9.1.min.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/images/logo.png)
22:10:35	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:21%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/images/images/logo.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/images/images/logo.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/images/logo.png)
22:10:35	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:19%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/images/style.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/images/style.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/images/logo.png)
22:10:36	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:22%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/images/images/purchase.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/images/images/purchase.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/images/logo.png)
22:10:37	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:22%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/images/images/cross.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/images/images/cross.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/images/logo.png)
22:10:38	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:23%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/js/style.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/js/style.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/js/jquery-1.9.1.min.js)
22:10:38	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:24%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/js/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/js/js/jquery-1.9.1.min.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/js/jquery-1.9.1.min.js)
22:10:39	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:25%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/js/images/logo.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/js/images/logo.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/js/jquery-1.9.1.min.js)
22:10:40	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:25%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/js/images/purchase.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/js/images/purchase.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/js/jquery-1.9.1.min.js)
22:10:41	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:26%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/js/images/cross.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/js/images/cross.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/js/jquery-1.9.1.min.js)
22:10:42	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:27%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/images/style.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/images/style.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/images/logo.png)
22:10:45	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:30%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/images/images/logo.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/images/images/logo.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/images/logo.png)
22:10:46	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:29%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/images/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/images/js/jquery-1.9.1.min.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/images/logo.png)
22:10:46	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:31%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/images/images/purchase.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/images/images/purchase.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/images/logo.png)
22:10:47	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:33%20GMT	http://demos.wpexpand.com/html/eElectronics/css/images/images/images/cross.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/images/images/images/cross.html	(from http://demos.wpexpand.com/html/eElectronics/css/images/images/logo.png)
22:10:48	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:33%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/js/style.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/js/style.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/js/jquery-1.9.1.min.js)
22:10:49	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:34%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/js/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/js/js/jquery-1.9.1.min.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/js/jquery-1.9.1.min.js)
22:10:50	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:35%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/js/images/logo.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/js/images/logo.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/js/jquery-1.9.1.min.js)
22:10:51	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:36%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/js/images/purchase.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/js/images/purchase.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/js/jquery-1.9.1.min.js)
22:10:52	9209/9209	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Feb%202017%2020:10:38%20GMT	http://demos.wpexpand.com/html/eElectronics/css/js/js/js/images/cross.png	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/js/js/js/images/cross.html	(from http://demos.wpexpand.com/html/eElectronics/css/js/js/js/jquery-1.9.1.min.js)
